date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:44:38	98820/98820	---M-Z	200	added ('OK')	text/html	etag:%22bfc003c-18204-60b80da861854-gzip%22	https://codervent.com/matoxi/demo/vertical-menu/index.html	G:/Files/Webs/DASHBOARD2.0/codervent.com/matoxi/demo/vertical-menu/index.html	(from )
15:44:40	98/98	---M-Z	200	added ('OK')	text/plain	etag:%22b8c3255-62-5fdb6110cf3db-gzip%22	https://codervent.com/robots.txt		(from )
15:44:40	2194/2194	---M--	200	added ('OK')	image/png	etag:%22bfc00ca-892-60b80e0bd50e2%22	https://codervent.com/matoxi/demo/vertical-menu/assets/images/favicon-32x32.png	G:/Files/Webs/DASHBOARD2.0/codervent.com/matoxi/demo/vertical-menu/assets/images/favicon-32x32.png	(from https://codervent.com/matoxi/demo/vertical-menu/index.html)
15:44:41	1819/1819	---M-Z	200	added ('OK')	text/css	etag:%22bfe06ce-71b-60b81269f2cf0-gzip%22	https://codervent.com/matoxi/demo/vertical-menu/assets/plugins/perfect-scrollbar/css/perfect-scrollbar.css	G:/Files/Webs/DASHBOARD2.0/codervent.com/matoxi/demo/vertical-menu/assets/plugins/perfect-scrollbar/css/perfect-scrollbar.css	(from https://codervent.com/matoxi/demo/vertical-menu/index.html)
15:44:41	1938/1938	---M-Z	200	added ('OK')	text/css	etag:%22bfe05bd-792-60b80fb347e84-gzip%22	https://codervent.com/matoxi/demo/vertical-menu/assets/plugins/metismenu/metisMenu.min.css	G:/Files/Webs/DASHBOARD2.0/codervent.com/matoxi/demo/vertical-menu/assets/plugins/metismenu/metisMenu.min.css	(from https://codervent.com/matoxi/demo/vertical-menu/index.html)
15:44:42	1000/1000	---M-Z	200	added ('OK')	text/css	etag:%22bfe05c0-3e8-60b80fb4ae0ff-gzip%22	https://codervent.com/matoxi/demo/vertical-menu/assets/plugins/metismenu/mm-vertical.css	G:/Files/Webs/DASHBOARD2.0/codervent.com/matoxi/demo/vertical-menu/assets/plugins/metismenu/mm-vertical.css	(from https://codervent.com/matoxi/demo/vertical-menu/index.html)
15:44:42	2964/2964	---M-Z	200	added ('OK')	text/css	etag:%22bfe06da-b94-60b81276e11e8-gzip%22	https://codervent.com/matoxi/demo/vertical-menu/assets/plugins/simplebar/css/simplebar.css	G:/Files/Webs/DASHBOARD2.0/codervent.com/matoxi/demo/vertical-menu/assets/plugins/simplebar/css/simplebar.css	(from https://codervent.com/matoxi/demo/vertical-menu/index.html)
15:44:43	263122/263122	---M-Z	200	added ('OK')	text/css	etag:%22bfc00b9-403d2-60b80df1699c6-gzip%22	https://codervent.com/matoxi/demo/vertical-menu/assets/css/bootstrap.min.css	G:/Files/Webs/DASHBOARD2.0/codervent.com/matoxi/demo/vertical-menu/assets/css/bootstrap.min.css	(from https://codervent.com/matoxi/demo/vertical-menu/index.html)
15:44:44	15261/15261	---M-Z	200	added ('OK')	text/css	etag:%22bfc00ba-3b9d-60b80ded575f4-gzip%22	https://codervent.com/matoxi/demo/vertical-menu/assets/css/bootstrap-extended.css	G:/Files/Webs/DASHBOARD2.0/codervent.com/matoxi/demo/vertical-menu/assets/css/bootstrap-extended.css	(from https://codervent.com/matoxi/demo/vertical-menu/index.html)
15:44:45	23292/23292	---M-Z	200	added ('OK')	text/css	etag:%22bfc009e-5afc-60b80ddc79fa9-gzip%22	https://codervent.com/matoxi/demo/vertical-menu/sass/main.css	G:/Files/Webs/DASHBOARD2.0/codervent.com/matoxi/demo/vertical-menu/sass/main.css	(from https://codervent.com/matoxi/demo/vertical-menu/index.html)
